open_time_brasilia,open,high,low,close,volume,close_time_brasilia,quote_volume,trades
2026-05-18 00:00:00,1.39240000,1.39480000,1.39220000,1.39420000,404637.00000000,2026-05-18 00:04:59,563901.98216000,2265
2026-05-18 00:05:00,1.39420000,1.39900000,1.39350000,1.39820000,431364.00000000,2026-05-18 00:09:59,602406.20773000,2513
2026-05-18 00:10:00,1.39830000,1.40040000,1.39470000,1.39480000,377667.80000000,2026-05-18 00:14:59,528168.64834000,1976
2026-05-18 00:15:00,1.39480000,1.39550000,1.39350000,1.39370000,385861.90000000,2026-05-18 00:19:59,538055.85659000,1704
2026-05-18 00:20:00,1.39360000,1.39380000,1.39160000,1.39370000,199096.00000000,2026-05-18 00:24:59,277271.45652000,1606
2026-05-18 00:25:00,1.39370000,1.39420000,1.39160000,1.39320000,199076.30000000,2026-05-18 00:29:59,277327.61437000,1280
2026-05-18 00:30:00,1.39320000,1.39320000,1.38970000,1.39190000,256264.60000000,2026-05-18 00:34:59,356596.79905000,1947
2026-05-18 00:35:00,1.39190000,1.39280000,1.39120000,1.39150000,163867.80000000,2026-05-18 00:39:59,228089.76181000,1239
2026-05-18 00:40:00,1.39150000,1.39520000,1.39140000,1.39490000,171283.70000000,2026-05-18 00:44:59,238697.30511000,1311
2026-05-18 00:45:00,1.39480000,1.39510000,1.39360000,1.39470000,562435.80000000,2026-05-18 00:49:59,784173.02136000,1728
2026-05-18 00:50:00,1.39470000,1.39570000,1.39210000,1.39260000,525181.60000000,2026-05-18 00:54:59,732404.69664000,2207
2026-05-18 00:55:00,1.39260000,1.39350000,1.39220000,1.39320000,100087.90000000,2026-05-18 00:59:59,139394.00158000,612
2026-05-18 01:00:00,1.39320000,1.39500000,1.39290000,1.39390000,251788.80000000,2026-05-18 01:04:59,350995.94338000,1476
2026-05-18 01:05:00,1.39390000,1.39500000,1.39260000,1.39420000,283030.90000000,2026-05-18 01:09:59,394483.94860000,1669
2026-05-18 01:10:00,1.39410000,1.39560000,1.39230000,1.39520000,225619.90000000,2026-05-18 01:14:59,314500.22708000,1802
2026-05-18 01:15:00,1.39520000,1.39520000,1.39300000,1.39410000,265516.40000000,2026-05-18 01:19:59,370136.14965000,1608
2026-05-18 01:20:00,1.39400000,1.39400000,1.38800000,1.38830000,578880.00000000,2026-05-18 01:24:59,804783.81076000,2294
2026-05-18 01:25:00,1.38820000,1.38940000,1.38730000,1.38940000,292481.40000000,2026-05-18 01:29:59,406076.57846000,1561
2026-05-18 01:30:00,1.38940000,1.39070000,1.38830000,1.39060000,259762.70000000,2026-05-18 01:34:59,360931.12701000,1496
2026-05-18 01:35:00,1.39060000,1.39210000,1.39060000,1.39170000,185409.60000000,2026-05-18 01:39:59,257992.92433000,1277
2026-05-18 01:40:00,1.39180000,1.39790000,1.39180000,1.39780000,365325.10000000,2026-05-18 01:44:59,509923.28709000,2521
2026-05-18 01:45:00,1.39790000,1.39960000,1.39600000,1.39600000,509034.50000000,2026-05-18 01:49:59,711408.52230000,2357
2026-05-18 01:50:00,1.39610000,1.39610000,1.39400000,1.39570000,152344.00000000,2026-05-18 01:54:59,212514.29262000,1306
2026-05-18 01:55:00,1.39580000,1.39580000,1.39470000,1.39500000,120348.10000000,2026-05-18 01:59:59,167888.50127000,1006
2026-05-18 02:00:00,1.39490000,1.39610000,1.39270000,1.39450000,290132.10000000,2026-05-18 02:04:59,404391.73423000,2255
